T,c0,c1,c2,c3,c4,sig
PGA,5.006,-1.5573,-0.00034,0.1774,0.0827,0.24
0.05,5.843,-1.9391,0,0.1813,0.0199,0.26
0.1,5.49,-1.6257,-0.00115,0.1736,0.0261,0.27
0.2,4.746,-1.1691,-0.00212,0.1593,0.0432,0.27
0.3,4.303,-0.9322,-0.00231,0.1713,0.027,0.27
0.4,4.167,-0.8854,-0.00211,0.1802,0.0258,0.27
0.5,3.999,-0.8211,-0.00195,0.187,0.0271,0.27
0.75,3.764,-0.7541,-0.00164,0.2029,0.0257,0.28
1,3.621,-0.7376,-0.00128,0.2116,0.0328,0.29
2,3.241,-0.6741,-0.00081,0.2696,-0.0064,0.3
# 2.5,3.104,-0.6585,-0.00063,0.299,-0.0074,0.3
3,2.978,-0.6431,-0.00057,0.3258,-0.0103,0.3
4,2.814,-0.6108,-0.00046,0.349,-0.0299,0.3
5,2.671,-0.5942,-0.0004,0.3822,-0.0417,0.32
7.5,2.489,-0.6412,-3.00E-05,0.476,-0.0629,0.35
10,2.338,-0.6311,0,0.5357,-0.0737,0.38
