T,            C1,        C2,  C3,        C4,      C5,       C6
10.0,   -4.06428,   1.34282, 5.4,  -3.45320, 0.23289, -0.14270
7.5,           0,         0,   0,         0,       0,        0
5.0,     2.52438,   1.35767, 5.7,  -3.94546, 0.19376, -0.22802
4.0,           0,         0,   0,         0,       0,        0
3.0,    11.21896,   1.12792, 5.9,  -4.89811, 0.19535, -0.27638
2.0,    16.13302,   1.01694, 5.9,  -5.42645, 0.18666, -0.29415
1.5,    21.10197,   1.01206, 6.0,  -6.00444, 0.17189, -0.29984
1.0,    30.96416,   0.74999, 6.1,  -7.18627, 0.18324, -0.30587
0.75,   43.71734,  -0.26484, 6.2,  -8.88793, 0.31740, -0.30885
0.5,    80.53577,  -3.34020, 6.5, -13.82011, 0.73594, -0.31268
0.4,   112.43970,  -6.21106, 6.7, -17.97597, 1.11532, -0.29580
0.3,   139.22570,  -8.85118, 6.8, -21.49511, 1.46421, -0.27930
0.25,  168.33290, -11.62806, 6.9, -25.29347, 1.82776, -0.25550
0.2,   197.68610, -14.40394, 7.0, -29.04471, 2.18513, -0.23960
0.15,  175.79600, -13.42590, 6.8, -26.60735, 2.09247, -0.21223
0.10,  177.03360, -14.59615, 6.7, -27.09436, 2.27932, -0.16581
0.075,         0,         0,   0,         0,       0,        0
0.05,  105.56700,  -9.10250, 6.1, -18.07121, 1.59993, -0.12999
0.03,   91.89919,  -7.77002, 6.0, -16.20113, 1.41794, -0.13896
0.02,   86.55507,  -7.07048, 6.0, -15.40218, 1.31405, -0.15396
0.01,   83.82279,  -6.70478, 6.0, -14.98769, 1.25899, -0.16222
PGA,    83.41772,  -6.63195, 6.0, -14.92092, 1.24728, -0.16212
PGV,    43.61100,  -3.09358, 5.4,  -9.00818, 0.82445, -0.16302
