T,           C1,       C2,  C3,        C4,      C5,       C6,  sigma
PGV,   39.70192, -2.85255, 5.3,  -8.55941, 0.80414, -0.15077, 0.4487
PGA,   68.52187, -5.09631, 5.8, -12.96010, 1.03629, -0.14898, 0.7803
0.01,  68.77858, -5.13883, 5.8, -13.00533, 1.04366, -0.14918, 0.7816
0.02,  65.29077, -4.98649, 5.7, -12.56134, 1.02752, -0.14202, 0.7975
0.03,  69.46166, -5.48027, 5.7, -13.19430, 1.10188, -0.13149, 0.8194
0.05,  85.62312, -6.76578, 5.9, -15.41352, 1.27568, -0.13241, 0.8327
0.075,        0,        0,   0,         0,       0,        0,      0
0.1,  103.04320, -7.20814, 6.2, -17.48802, 1.29736, -0.16376, 0.8254
0.15, 108.81360, -6.61834, 6.4, -17.96824, 1.18618, -0.18760, 0.8290
0.2,   98.22293, -5.32783, 6.4, -16.41981, 1.00088, -0.20822, 0.8381
0.25,  91.64108, -4.50724, 6.4, -15.47178, 0.88528, -0.22629, 0.8264
0.3,   73.99161, -2.90241, 6.3, -13.06945, 0.66484, -0.23860, 0.8492
0.4,   58.53881, -1.71001, 6.2, -10.95674, 0.50386, -0.25817, 0.8412
0.5,   46.91267, -0.93125, 6.1,  -9.36813, 0.40094, -0.27491, 0.8188
0.75,  43.47321, -0.50426, 6.2,  -8.89132, 0.35245, -0.30295, 0.8183
1.0,   32.93593,  0.08357, 6.1,  -7.51731, 0.28394, -0.31387, 0.7954
1.5,   25.11810,  0.51244, 6.1,  -6.58828, 0.24816, -0.31414, 0.8706
2.0,   21.84053,  0.61910, 6.1,  -6.22484, 0.24654, -0.30737, 0.9512
3.0,    9.41267,  1.23611, 5.9,  -4.64883, 0.18193, -0.28698, 1.0442
4.0,          0,        0,   0,         0,       0,        0,      0
5.0,   -0.08881,  1.63345, 5.7,  -3.56561, 0.15429, -0.23807, 1.1854
7.5,          0,        0,   0,         0,       0,        0,      0
10.0,  -6.91550,  1.66675, 5.4,  -3.03522, 0.18615, -0.15158, 1.3092
