  T,     tau_M5, phi_M5, tau_M6, phi_M6, tau_M7, phi_M7
  0.01,  0.4320, 0.6269, 0.3779, 0.5168, 0.3525, 0.5039
  0.02,  0.4710, 0.6682, 0.4385, 0.5588, 0.4138, 0.5462
  0.03,  0.4710, 0.6682, 0.4385, 0.5588, 0.4138, 0.5462
# 0.04,  0.4710, 0.6682, 0.4385, 0.5588, 0.4138, 0.5462
  0.05,  0.4710, 0.6682, 0.4385, 0.5588, 0.4138, 0.5462
  0.075, 0.4710, 0.6682, 0.4385, 0.5588, 0.4138, 0.5462
  0.1,   0.4710, 0.6682, 0.4385, 0.5588, 0.4138, 0.5462
  0.15,  0.4433, 0.6693, 0.4130, 0.5631, 0.3886, 0.5506
  0.2,   0.4216, 0.6691, 0.3822, 0.5689, 0.3579, 0.5566
  0.25,  0.4150, 0.6646, 0.3669, 0.5717, 0.3427, 0.5597
  0.3,   0.4106, 0.6623, 0.3543, 0.5846, 0.3302, 0.5727
  0.4,   0.4088, 0.6562, 0.3416, 0.5997, 0.3176, 0.5882
  0.5,   0.4175, 0.6526, 0.3456, 0.6125, 0.3217, 0.6015
  0.75,  0.4439, 0.6375, 0.3732, 0.6271, 0.3494, 0.6187
  1.0,   0.4620, 0.6219, 0.3887, 0.6283, 0.3650, 0.6227
  1.5,   0.4774, 0.5957, 0.4055, 0.6198, 0.3819, 0.6187
  2.0,   0.4809, 0.5860, 0.4098, 0.6167, 0.3863, 0.6167
  3.0,   0.4862, 0.5813, 0.4186, 0.6098, 0.3952, 0.6098
  4.0,   0.4904, 0.5726, 0.4144, 0.6003, 0.3910, 0.6003
  5.0,   0.4899, 0.5651, 0.4182, 0.5986, 0.3949, 0.5986
# 7.5,   0.4803, 0.5502, 0.4067, 0.5982, 0.3835, 0.5982
# 10.0,  0.4666, 0.5389, 0.3993, 0.5885, 0.3761, 0.5885
  PGA,   0.4320, 0.6269, 0.3779, 0.5168, 0.3525, 0.5039
# PGV,   0.3925, 0.5979, 0.3612, 0.5218, 0.3502, 0.5090
