T,t1,t1h,t2,t3,t4,t5,t6,th,tsigma
PGA,2.619,2.2,0.81,0,1.27,1.16,0.0021,9.3,0.7506
0.2,2.295,1.73,0.84,0,0.98,0.66,0.0042,7.5,0.7506
1,0.383,0.09,1.42,-0.2,0.9,0.49,0.0023,6.8,0.799
0.1,2.92,2.37,0.81,0,1.1,1.02,0.004,8.3,0.7506
0.3,1.8823,1.34,0.964,-0.059,0.951,0.601,0.00367,7.26,0.7506
0.5,1.2887,0.8313,1.14,-0.1244,0.9227,0.5429,0.00306,7.027,0.7506
2,-0.558,-0.74,1.86,-0.31,0.92,0.46,0.0017,6.9,0.799
0.04,4,3.68,0.8,0,1.46,1.77,0.0013,10.5,0.7506
0.4,1.4,1.07,1.05,-0.1,0.93,0.56,0.0033,7.1,0.7506
